,X,Y
1,"Здравствуйте. У моего 4-месячного малыша пару недель назад припухло левое верхнее веко. Думала, ячмень, мазала тетрациклиновой мазью. Толка никакого. Вчера припухло правое нижнее веко, даже больше, чем левое. Еще ребенок хрюкает носиком пару недель, но сопелек почти нет. Веки периодически краснеют, потом покраснение проходит. Ребенка все это не беспокоит и до век дотрагиваться небольно. Может ли это быть аллергия? Как определить на что? И как лечить до поездки к аллергологу?",1
2,"никогда не была аллергиком. Началось все в мае 2012 года. Это началось когда поменяла место проживания (уехала в другой город). С квартирой не связано, потому что когда я в ней долго не была, то все равно были проблемы. С питанием тоже сложно связать так как сидела на диетах с энтеросгелем и т. Д. Животных нет. Уже более года раздражена слизистая (насморк, отечность, красные глаза и горло, зуб в ушах, глазах чихаю) и сильная кропивница (утром и вечером с пояса до колен). С мая по сентябрь проблемы со слизистой, с сентября по май с кожей. капли и спреи в нос не помогали. Лоратадин не помог, начала пить цитрин. Он помогал. Сейчас его не хватает. Прошла частичную диагностику. Анализы крови чистые, узи отличное, анализ на аскаридов, токсакаров и лямблии чистый. Надо сдавать аллергопробы. 1. Как сдать если я всегда принимаю таблетки и без них просто не могу. 2. С каких анализов начать? (их очень много и у меня нет возможности платить за все).3. Хочу в отпуск на море. Это не ухудшит мое состояние? Никогда не была аллергиком. Началось все в мае 2012 года. Это началось когда поменяла место проживания (уехала в другой город). С квартирой не связано, потому что когда я в ней долго не была, то все равно были проблемы. С питанием тоже сложно связать так как сидела на диетах с энтеросгелем и т. Д. Животных нет. Уже более года раздражена слизистая (насморк, отечность, красные глаза и горло, зуб в ушах, глазах чихаю) и сильная кропивница (утром и вечером с пояса до колен). С мая по сентябрь проблемы со слизистой, с сентября по май с кожей. Единственное время когда все успокаивалось - июль. капли и спреи в нос не помогали. Лоратадин не помог, начала пить цитрин. Он помогал. Сейчас его не хватает. Нос заложен, голова болит, упадок сил. Прошла частичную диагностику. Анализы крови чистые, узи отличное, анализ на аскаридов, токсакаров и лямблии чистый. Надо сдавать аллергопробы. 1. Как сдать если я всегда принимаю таблетки и без них просто не могу. 2. С каких анализов начать? (их очень много и у меня нет возможности платить за все).3. Хочу в отпуск на море. Это не ухудшит мое состояние?",1
3,"Было несколько странных приступов, все немного по-разному проходили, но одно одинаково: становится тяжело дышать, хочется вздохнуть всех грудью - но как будто что-то давит, и всё короче и короче вздох. На что - ощущение что на всё. То на запахи резкие, то на еду. На работе чаще всего бывает, работаю на производстве пластмассовой продукции. Раньше такого не было. То кашель бывает раздирающий, но больше всего пугает нехватка воздуха...",1
4,"Здравствуйте. Мне 20 лет. Кожа лица никогда не была чистой, всегда были высыпания, но считали, что виной подростковый возраст. Сейчас повзрослела, а высыпания не проходят. В этом году в апреле были покраснения на коже лица, положили в больницу, поставили диагноз: атопический дерматит. Через несколько дней снова появились высыпания, поставили диагноз: фолликулит. Месяц все было нормально, сейчас снова появились высыпания. Была у врача 2 раза, ставили диагноз фолликулит и угревая сыпь, назначали лечение, вроде воспаление сходило и снова тоже самое. Появляется сыпь после употребления определенных видов еды: приправы, консервы, колбасы, кофе, сладкое, алкоголь, соки и т. Д. Преимущественно после малейшего нарушения диеты, при чем реакция идет на ненатуральные продукты, при попытке замазать кожу тональным кремом или пудрой: ситуация ухудшается. Не знаю что делать уже. Аллерголога в городе нет, направление в другой город не дают.",1
5,После контакта с холодной водой начинает чесаться и кожа набухает. Если искупаюсь в речке пять мин норма потом сильный удар в голове и как показала практика резко падает давление 60 на 30-40 тело покрывается сильными вздутиями кожи.. Если прохладная погода или ветер сильно чешется шея уши и начинается аллергический симтом все краснеет иопять набухани е кожи.. началось 5 лет назад. Раньше никогда не было алллергии ни на что. Спасибо..,1
6,"Здравствуйте! У меня такая проблема - вчера утром стала напухать нижняя губа, к обеду она опухла полностью стала как силиконовая, к вечеру стала опухоль спадать и начала опухать верхняя губа! Ночью стала опухать щека (с левой стороны) и на теле в районе живота появилась сыпь то ли прыщи похожие на укусы комара только большие и чесались сильно! Сегодня же утром осталась только сыпь но уже не чесалась. А к вечеру опухать стало под левым глазом. Что это может быть и от чего? Заранее спасибо!",1
7,"Добрый день, доктор! Помогите, пожалуйста, разобраться. Моему ребенку 4,5 года, причину кожных высыпаний, вздутия кишечника и периодического заложенности носа (в момент ОРЗ долго насморк лечится, помогает эриус) не можем определить. Высыпания и др. ”аллергич” проявления отсутствуют при соблюдении диеты, исключающей яйца, молоко, рыбу, растит. Масло и животн. Жир. Год назад сдавали анализы: АТ к Глиадину IgG – 14 (норма менее 40), АТ к Глиадину – 7 (норма менее 45) . Месяц назад аллергопробы по «педиатрической панели» показали нули по всем пунктам (то есть аллерген не выявлен), тест на «непереносимость» (90 пищевых аллергенов) выявил реакцию только на глютен – 195 (норматив: 50-100-легкая аллергия. Реакция, 100-200 умеренная, более 200 – сильная), остальные показатели, включая молоко и яйца, в норме. Насколько критично соблюдение безглютеновой диеты? О чем говорит последний анализ? Как расширить рацион (ввести молоко и яйца, например)? ",1
8,Подскажите пожалуйста можно давать 3 летнему ребенку антибиотик икзим и амброксол 15. Вместе или нужно какой-то промежуток времени. А ещё нам прописали эриус тоже с этими лекарствами. Как быть? Заранее спасибо. ,1
9,"Врач неврапотолог назначил уколы Амелотекс от хондроза шейно-грудного отдела. На месте уколов появились красные шишки и зуд, они горячие на ощупь. Что делать?",1
10,Здравствуйте! Может ли на фоне специфической иммунотерапии аллергенами быть нарушение менструального цикла? Терапию проводят уже 2 недели.,1
11,"Скажите, где можно сдать анализы на аллергию к глютену?",1
12,"Добрый день! Подскажите, мы еле малютку и у малыша высыпало щечки, а точнее покраснения на щечках и кожа как будто обветренная, мазала адвантаном 1 раз прошло а потом опять, что можно пропить чтобы прошло?",1
13,"Здравствуйте, сегодня утром ребенок проснулся с ужасно красными локтями и коленками, небольшие покраснения на попе, ступнях и с внутренней стороны колена до попы, и сказала что немного чешется, до этого у нас кроме как аллергии на укус насекомого ничего не было, из еды ничего нового не кушала, единственное что нового так это то что ей купили новую куклу. Из лекарства дала эриус, может подскажете что мне теперь делать. Спасибо.",1
14,"Результат анализа крови на Anti-Токсоплазма 53,5 МЕ/мл, что это?",1
15,Постоянно обсыпает лицо....реакция на продукты питания... Которые не натуральные... Отказываю себе абсолютно во всем... Никто не может помочь. Куда обращалась... Поверьте... Около десяти лет борюсь с этим ужасом... Безполезно... Помогите...,1
16,"Добрый день. Вчера вечером после еды опухла нижняя губа и на спине и животе появилась сыпь размером с маленькую горошину. Высыпания очень чесались. Опухоль не болела, а было ощущение онемения. В пищу употреблял ячневую кашу с мясом и кислую капусту с луком и кукурузным маслом. Выпил таблетку диазолина и лег спать. Наутро высыпаний не осталось. Опухоль почти исчезла, но онемение осталось.  У меня удален желчный и хронический панкреатит. Панкреатитом переболел лет пять назад. Обострений или приступов не было. Желчный удалили четыре года назад. Раньше такой опухоли и высыпаний не было. С чем могут быть связаны такие симптомы? Заранее Спасибо! С ув. Юрий.",1
17,"Скажите пожалуйста если аллергия сезонная как правильно проводить лечение, обращались к аллергологу внятного ответа не получили. Советуют делать укол, а вы как посоветуете? Заранее благодарна за ответ.",1
18,"Здравствуйте. Аллергия (аллергический дерматит) на препарат фокусин, чем лечить?",1
19,"Здравствуйте! В течении двух дней появляется аллергия, в виде крапивницы, хотя лечение проводится, точнее принимаю цитаризин, внутривенно колят диасульфат натрия, и внутримышечно хлоропирамин, а пятна появляются вновь, что делать?",1
20,"Здраствуйте. Подскажите пожалуйста у ребеночка недели 2 назад появился сухой кашель загноились глазки и начала очень часто чихать сопли были прозрачные температуры не было но и высыпаний на коже нет приходил педиатр назначил антибиотики, средство от кашля и капли в глаза мы прошли курс лечения этих 2 недели сегодня глаза опять начали слезоточить а кашель сухой как был так и остался и прозрачные сопли тоже не прошли кормим смесью беллакт кисломолочная может ли эта быть аллергия ребенок ведет себя норм не капризнич наш педиатр разводит руками потому что хрипов нет дыхание хорошее и предлаг нам попробывать дальше лечит простуду",1
21,"Я сдала анализ риноцитограмма ответы: Эпителий 18-20, Лейкоциты 8-10, Эозинофилы 24, Нейтрофилы 76. Помогите расшифровать!",1
22," Здравствуйте у меня такая проблема, после 100 г любого выпитого мной алкоголя, происходит какая-то реакция, поднимается давление, учащается сердцебиение, поднимается жар, начинается зуд странно что только на голове в итоге приводит все к рвоте, пробовал некоторое время не пить, но стоит снова употребить и история повторяется, подскажите пожалуйста. Началось месяц назад до этого было все нормально.",1
23,"Здравствуйте, у меня пол года после любого запаха духов, моющих средств сразу сухость в носу и печет небо и язык и так весь день, уже сил нет, помогите советом, что делать и как лечить? Спасибо",1
